"","subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"66","myoutubecom",65,62.85438,"0","1","4"
"67","myoutubecom",22,77.132412,"0","1","4"
"68","myoutubecom",212,78.529176,"0","1","4"
"69","myoutubecom",34,76.666824,"0","1","4"
"70","myoutubecom",65,78.37398,"0","1","4"
"501","myoutubecom",64,62.204724,"0","1","4"
"502","myoutubecom",65,75.390264,"0","1","4"
"503","myoutubecom",146,78.33762,"0","1","4"
"504","myoutubecom",199,76.321008,"0","1","4"
"505","myoutubecom",35,75.545388,"0","1","4"
"21","myoutubecom",29,63.889128,"1","1","4"
"22","myoutubecom",173,76.324968,"1","1","4"
"23","myoutubecom",22,78.50124,"1","1","4"
"24","myoutubecom",84,76.014072,"1","1","4"
"25","myoutubecom",58,77.879448,"1","1","4"
"461","myoutubecom",35,61.33086,"1","1","4"
"462","myoutubecom",77,75.149712,"1","1","4"
"463","myoutubecom",24,76.85766,"1","1","4"
"464","myoutubecom",49,76.547124,"1","1","4"
"465","myoutubecom",125,77.478732,"1","1","4"
"56","myoutubecom",339,62.05248,"2","1","4"
"57","myoutubecom",55,76.36032,"2","1","4"
"58","myoutubecom",71,77.29344,"2","1","4"
"59","myoutubecom",87,76.2048,"2","1","4"
"60","myoutubecom",94,77.60448,"2","1","4"
"491","myoutubecom",33,62.1648,"2","1","4"
"492","myoutubecom",47,75.996468,"2","1","4"
"493","myoutubecom",44,77.084352,"2","1","4"
"494","myoutubecom",79,74.442348,"2","1","4"
"495","myoutubecom",42,76.307292,"2","1","4"
"376","myoutubecom",178,61.672032,"3","1","4"
"377","myoutubecom",242,75.603024,"3","1","4"
"378","myoutubecom",188,78.733584,"3","1","4"
"379","myoutubecom",49,74.3508,"3","1","4"
"380","myoutubecom",19,77.168304,"3","1","4"
"76","amazoncom",96,64.906452,"0","2","7"
"77","amazoncom",182,77.454,"0","2","7"
"78","amazoncom",340,81.481608,"0","2","7"
"79","amazoncom",203,78.538356,"0","2","7"
"80","amazoncom",121,79.157988,"0","2","7"
"511","amazoncom",36,64.474704,"0","2","7"
"512","amazoncom",33,78.715476,"0","2","7"
"513","amazoncom",280,65.570148,"0","2","7"
"514","amazoncom",208,79.654428,"0","2","7"
"515","amazoncom",71,78.715476,"0","2","7"
"11","amazoncom",46,62.33976,"1","2","7"
"12","amazoncom",26,76.87008,"1","2","7"
"13","amazoncom",29,77.96376,"1","2","7"
"14","amazoncom",57,77.02632,"1","2","7"
"15","amazoncom",106,78.43248,"1","2","7"
"446","amazoncom",138,64.831104,"1","2","7"
"447","amazoncom",59,77.14278,"1","2","7"
"448","amazoncom",42,79.012908,"1","2","7"
"449","amazoncom",136,80.727192,"1","2","7"
"450","amazoncom",31,79.947972,"1","2","7"
"31","amazoncom",79,64.051344,"2","2","7"
"32","amazoncom",162,77.078736,"2","2","7"
"33","amazoncom",234,80.490672,"2","2","7"
"34","amazoncom",25,78.009264,"2","2","7"
"35","amazoncom",86,79.87032,"2","2","7"
"466","amazoncom",27,59.257368,"2","2","7"
"467","amazoncom",35,74.769768,"2","2","7"
"468","amazoncom",30,77.872248,"2","2","7"
"469","amazoncom",17,77.096628,"2","2","7"
"470","amazoncom",52,68.25456,"2","2","7"
"431","amazoncom",32,62.0496,"3","2","7"
"432","amazoncom",44,76.01076,"3","2","7"
"433","amazoncom",79,78.802992,"3","2","7"
"434","amazoncom",100,76.78638,"3","2","7"
"435","amazoncom",50,78.647868,"3","2","7"
"846","amazoncom",83,61.020324,"3","2","7"
"847","amazoncom",84,76.702392,"3","2","7"
"848","amazoncom",46,82.136772,"3","2","7"
"849","amazoncom",54,75.615516,"3","2","7"
"850","amazoncom",243,79.031412,"3","2","7"
"51","linkedincom",72,62.127324,"0","3","9"
"52","linkedincom",218,80.280396,"0","3","9"
"53","linkedincom",33,78.402492,"0","3","9"
"54","linkedincom",111,77.620032,"0","3","9"
"55","linkedincom",229,77.46354,"0","3","9"
"486","linkedincom",47,61.133508,"0","3","9"
"487","linkedincom",178,65.489076,"0","3","9"
"488","linkedincom",49,76.066884,"0","3","9"
"489","linkedincom",36,75.289104,"0","3","9"
"490","linkedincom",46,77.311332,"0","3","9"
"331","linkedincom",93,61.24554,"1","3","9"
"332","linkedincom",38,91.170576,"1","3","9"
"333","linkedincom",19,75.97548,"1","3","9"
"334","linkedincom",86,74.580012,"1","3","9"
"335","linkedincom",70,75.97548,"1","3","9"
"771","linkedincom",226,62.283816,"1","3","9"
"772","linkedincom",56,75.272652,"1","3","9"
"773","linkedincom",36,76.211604,"1","3","9"
"774","linkedincom",23,75.11616,"1","3","9"
"775","linkedincom",73,65.72664,"1","3","9"
"401","linkedincom",55,61.880112,"2","3","9"
"402","linkedincom",46,76.148208,"2","3","9"
"403","linkedincom",45,75.838032,"2","3","9"
"404","linkedincom",38,74.907504,"2","3","9"
"405","linkedincom",67,76.613472,"2","3","9"
"816","linkedincom",36,59.905656,"2","3","9"
"817","linkedincom",217,75.425256,"2","3","9"
"818","linkedincom",30,71.545356,"2","3","9"
"819","linkedincom",82,74.028492,"2","3","9"
"820","linkedincom",82,89.548092,"2","3","9"
"276","linkedincom",35,59.85792,"3","3","9"
"277","linkedincom",56,73.57536,"3","3","9"
"278","linkedincom",170,74.35476,"3","3","9"
"279","linkedincom",326,73.73124,"3","3","9"
"280","linkedincom",59,76.69296,"3","3","9"
"711","linkedincom",60,59.605524,"3","3","9"
"712","linkedincom",51,74.078928,"3","3","9"
"713","linkedincom",64,74.078928,"3","3","9"
"714","linkedincom",58,61.47306,"3","3","9"
"715","linkedincom",90,76.25772,"3","3","9"
"361","baiducom",137,61.31664,"0","4","11"
"362","baiducom",103,78.39216,"0","4","11"
"363","baiducom",161,75.597984,"0","4","11"
"364","baiducom",152,74.821824,"0","4","11"
"365","baiducom",175,79.16832,"0","4","11"
"796","baiducom",195,59.69502,"0","4","11"
"797","baiducom",300,72.87444,"0","4","11"
"798","baiducom",173,75.045168,"0","4","11"
"799","baiducom",133,73.184544,"0","4","11"
"800","baiducom",154,63.106164,"0","4","11"
"321","baiducom",181,61.34508,"1","4","11"
"322","baiducom",127,76.254264,"1","4","11"
"323","baiducom",182,72.526968,"1","4","11"
"324","baiducom",131,75.788352,"1","4","11"
"325","baiducom",101,79.670952,"1","4","11"
"761","baiducom",161,62.21916,"1","4","11"
"762","baiducom",155,75.71808,"1","4","11"
"763","baiducom",285,77.58,"1","4","11"
"764","baiducom",210,74.94228,"1","4","11"
"765","baiducom",178,77.11452,"1","4","11"
"366","baiducom",137,61.880112,"2","4","11"
"367","baiducom",103,75.527856,"2","4","11"
"368","baiducom",309,76.458384,"2","4","11"
"369","baiducom",146,75.372768,"2","4","11"
"370","baiducom",110,77.544,"2","4","11"
"681","baiducom",98,61.11936,"3","4","11"
"682","baiducom",140,76.2048,"3","4","11"
"683","baiducom",321,63.14112,"3","4","11"
"684","baiducom",164,76.36032,"3","4","11"
"685","baiducom",157,77.91552,"3","4","11"
"16","wikipediaorg",43,70.092288,"0","5","12"
"17","wikipediaorg",123,80.261928,"0","5","12"
"18","wikipediaorg",66,80.105472,"0","5","12"
"19","wikipediaorg",222,78.853824,"0","5","12"
"20","wikipediaorg",194,81.513576,"0","5","12"
"456","wikipediaorg",24,63.578232,"0","5","12"
"457","wikipediaorg",93,78.656688,"0","5","12"
"458","wikipediaorg",68,80.988408,"0","5","12"
"459","wikipediaorg",76,80.211168,"0","5","12"
"460","wikipediaorg",79,81.143856,"0","5","12"
