"device","subject","run_id","energy_consumed","load_time"
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us0indexhtml",1,62.108748,351
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us0indexhtml",2,75.054492,283
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us0indexhtml",3,74.592144,288
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us0indexhtml",4,73.359216,268
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us0indexhtml",5,62.725212,276
"nexus5x","http1042018080stackexchangecomstackexchangecom1indexhtml",1,61.17552,249
"nexus5x","http1042018080stackexchangecomstackexchangecom1indexhtml",2,75.06486,281
"nexus5x","http1042018080stackexchangecomstackexchangecom1indexhtml",3,76.62546,340
"nexus5x","http1042018080stackexchangecomstackexchangecom1indexhtml",4,74.9088,459
"nexus5x","http1042018080stackexchangecomstackexchangecom1indexhtml",5,76.62546,308
"nexus5x","http1042018080wwwamazoncomwwwamazoncom1indexhtml",1,62.33976,243
"nexus5x","http1042018080wwwamazoncomwwwamazoncom1indexhtml",2,76.87008,223
"nexus5x","http1042018080wwwamazoncomwwwamazoncom1indexhtml",3,77.96376,226
"nexus5x","http1042018080wwwamazoncomwwwamazoncom1indexhtml",4,77.02632,254
"nexus5x","http1042018080wwwamazoncomwwwamazoncom1indexhtml",5,78.43248,304
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg0indexhtml",1,70.092288,240
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg0indexhtml",2,80.261928,322
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg0indexhtml",3,80.105472,263
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg0indexhtml",4,78.853824,443
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg0indexhtml",5,81.513576,405
"nexus5x","http1042018080myoutubecommyoutubecom1indexhtml",1,63.889128,226
"nexus5x","http1042018080myoutubecommyoutubecom1indexhtml",2,76.324968,380
"nexus5x","http1042018080myoutubecommyoutubecom1indexhtml",3,78.50124,219
"nexus5x","http1042018080myoutubecommyoutubecom1indexhtml",4,76.014072,281
"nexus5x","http1042018080myoutubecommyoutubecom1indexhtml",5,77.879448,255
