"subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"myoutubecom",262,62.85438,"0","1","4"
"myoutubecom",219,77.132412,"0","1","4"
"myoutubecom",428,78.529176,"0","1","4"
"myoutubecom",231,76.666824,"0","1","4"
"myoutubecom",262,78.37398,"0","1","4"
"myoutubecom",261,62.204724,"0","1","4"
"myoutubecom",262,75.390264,"0","1","4"
"myoutubecom",347,78.33762,"0","1","4"
"myoutubecom",414,76.321008,"0","1","4"
"myoutubecom",232,75.545388,"0","1","4"
"myoutubecom",226,63.889128,"1","1","4"
"myoutubecom",380,76.324968,"1","1","4"
"myoutubecom",219,78.50124,"1","1","4"
"myoutubecom",281,76.014072,"1","1","4"
"myoutubecom",255,77.879448,"1","1","4"
"myoutubecom",232,61.33086,"1","1","4"
"myoutubecom",274,75.149712,"1","1","4"
"myoutubecom",221,76.85766,"1","1","4"
"myoutubecom",246,76.547124,"1","1","4"
"myoutubecom",324,77.478732,"1","1","4"
"myoutubecom",922,62.05248,"2","1","4"
"myoutubecom",252,76.36032,"2","1","4"
"myoutubecom",268,77.29344,"2","1","4"
"myoutubecom",284,76.2048,"2","1","4"
"myoutubecom",292,77.60448,"2","1","4"
"myoutubecom",230,62.1648,"2","1","4"
"myoutubecom",244,75.996468,"2","1","4"
"myoutubecom",241,77.084352,"2","1","4"
"myoutubecom",276,74.442348,"2","1","4"
"myoutubecom",239,76.307292,"2","1","4"
"myoutubecom",385,61.672032,"3","1","4"
"myoutubecom",467,75.603024,"3","1","4"
"myoutubecom",395,78.733584,"3","1","4"
"myoutubecom",246,74.3508,"3","1","4"
"myoutubecom",216,77.168304,"3","1","4"
"myoutubecom",396,61.91442,"3","1","4"
"myoutubecom",932,69.78618,"3","1","4"
"myoutubecom",507,70.84584,"3","1","4"
"myoutubecom",551,55.40508,"3","1","4"
"myoutubecom",228,73.11654,"3","1","4"
"amazoncom",294,64.906452,"0","2","7"
"amazoncom",389,77.454,"0","2","7"
"amazoncom",935,81.481608,"0","2","7"
"amazoncom",418,78.538356,"0","2","7"
"amazoncom",320,79.157988,"0","2","7"
"amazoncom",233,64.474704,"0","2","7"
"amazoncom",230,78.715476,"0","2","7"
"amazoncom",525,65.570148,"0","2","7"
"amazoncom",424,79.654428,"0","2","7"
"amazoncom",268,78.715476,"0","2","7"
"amazoncom",243,62.33976,"1","2","7"
"amazoncom",223,76.87008,"1","2","7"
"amazoncom",226,77.96376,"1","2","7"
"amazoncom",254,77.02632,"1","2","7"
"amazoncom",304,78.43248,"1","2","7"
"amazoncom",337,64.831104,"1","2","7"
"amazoncom",256,77.14278,"1","2","7"
"amazoncom",239,79.012908,"1","2","7"
"amazoncom",335,80.727192,"1","2","7"
"amazoncom",228,79.947972,"1","2","7"
"amazoncom",276,64.051344,"2","2","7"
"amazoncom",368,77.078736,"2","2","7"
"amazoncom",456,80.490672,"2","2","7"
"amazoncom",222,78.009264,"2","2","7"
"amazoncom",283,79.87032,"2","2","7"
"amazoncom",224,59.257368,"2","2","7"
"amazoncom",232,74.769768,"2","2","7"
"amazoncom",227,77.872248,"2","2","7"
"amazoncom",212,77.096628,"2","2","7"
"amazoncom",249,68.25456,"2","2","7"
"amazoncom",229,62.0496,"3","2","7"
"amazoncom",241,76.01076,"3","2","7"
"amazoncom",276,78.802992,"3","2","7"
"amazoncom",298,76.78638,"3","2","7"
"amazoncom",247,78.647868,"3","2","7"
"amazoncom",280,61.020324,"3","2","7"
"amazoncom",281,76.702392,"3","2","7"
"amazoncom",243,82.136772,"3","2","7"
"amazoncom",251,75.615516,"3","2","7"
"amazoncom",468,79.031412,"3","2","7"
"wikipediaorg",240,70.092288,"0","5","12"
"wikipediaorg",322,80.261928,"0","5","12"
"wikipediaorg",263,80.105472,"0","5","12"
"wikipediaorg",443,78.853824,"0","5","12"
"wikipediaorg",405,81.513576,"0","5","12"
"wikipediaorg",221,63.578232,"0","5","12"
"wikipediaorg",291,78.656688,"0","5","12"
"wikipediaorg",265,80.988408,"0","5","12"
"wikipediaorg",273,80.211168,"0","5","12"
"wikipediaorg",276,81.143856,"0","5","12"
"wikipediaorg",304,62.4357,"1","5","12"
"wikipediaorg",338,78.6285,"1","5","12"
"wikipediaorg",223,82.3653,"1","5","12"
"wikipediaorg",389,78.1614,"1","5","12"
"wikipediaorg",238,77.6943,"1","5","12"
"wikipediaorg",264,64.370376,"1","5","12"
"wikipediaorg",249,78.363936,"1","5","12"
"wikipediaorg",387,81.007164,"1","5","12"
"wikipediaorg",258,79.607808,"1","5","12"
"wikipediaorg",378,83.18394,"1","5","12"
"wikipediaorg",217,64.340568,"2","5","12"
"wikipediaorg",736,74.908584,"2","5","12"
"wikipediaorg",246,78.48306,"2","5","12"
"wikipediaorg",459,76.307292,"2","5","12"
"wikipediaorg",265,80.192592,"2","5","12"
"wikipediaorg",283,64.606464,"2","5","12"
"wikipediaorg",266,78.273216,"2","5","12"
"wikipediaorg",236,79.360344,"2","5","12"
"wikipediaorg",258,78.894432,"2","5","12"
"wikipediaorg",340,67.246632,"2","5","12"
"wikipediaorg",295,62.81064,"3","5","12"
"wikipediaorg",351,76.303296,"3","5","12"
"wikipediaorg",321,80.335584,"3","5","12"
"wikipediaorg",248,78.939792,"3","5","12"
"wikipediaorg",231,78.784704,"3","5","12"
"wikipediaorg",532,81.9513,"3","5","12"
"wikipediaorg",289,79.6536,"3","5","12"
"wikipediaorg",310,78.42816,"3","5","12"
"wikipediaorg",437,76.28364,"3","5","12"
"wikipediaorg",241,75.97728,"3","5","12"
"awsamazoncom",315,63.77076,"0","8","38"
"awsamazoncom",449,77.89032,"0","8","38"
"awsamazoncom",371,75.09744,"0","8","38"
"awsamazoncom",309,75.40776,"0","8","38"
"awsamazoncom",365,76.8042,"0","8","38"
"awsamazoncom",372,64.656684,"0","8","38"
"awsamazoncom",340,78.766416,"0","8","38"
"awsamazoncom",294,81.557352,"0","8","38"
"awsamazoncom",361,71.32392,"0","8","38"
"awsamazoncom",281,77.215896,"0","8","38"
"awsamazoncom",381,65.100672,"1","8","38"
"awsamazoncom",358,69.012972,"1","8","38"
"awsamazoncom",324,82.784268,"1","8","38"
"awsamazoncom",400,79.497936,"1","8","38"
"awsamazoncom",480,79.184952,"1","8","38"
"awsamazoncom",302,62.450136,"1","8","38"
"awsamazoncom",452,66.810744,"1","8","38"
"awsamazoncom",290,80.359776,"1","8","38"
"awsamazoncom",389,77.400792,"1","8","38"
"awsamazoncom",496,80.20404,"1","8","38"
"awsamazoncom",331,61.59852,"2","8","38"
"awsamazoncom",358,76.0284,"2","8","38"
"awsamazoncom",498,77.58,"2","8","38"
"awsamazoncom",383,76.64904,"2","8","38"
"awsamazoncom",536,77.26968,"2","8","38"
"awsamazoncom",545,63.120816,"2","8","38"
"awsamazoncom",278,77.854176,"2","8","38"
"awsamazoncom",342,78.629616,"2","8","38"
"awsamazoncom",351,75.682944,"2","8","38"
"awsamazoncom",309,77.854176,"2","8","38"
"awsamazoncom",276,61.16022,"3","8","38"
"awsamazoncom",330,74.940624,"3","8","38"
"awsamazoncom",443,75.559968,"3","8","38"
"awsamazoncom",286,73.701936,"3","8","38"
"awsamazoncom",357,76.179312,"3","8","38"
"awsamazoncom",492,60.562404,"3","8","38"
"awsamazoncom",592,75.429144,"3","8","38"
"awsamazoncom",294,75.272652,"3","8","38"
"awsamazoncom",351,74.490192,"3","8","38"
"awsamazoncom",395,76.211604,"3","8","38"
"officecom",300,62.316432,"0","9","42"
"officecom",480,86.188896,"0","9","42"
"officecom",233,86.80896,"0","9","42"
"officecom",551,85.878864,"0","9","42"
"officecom",243,86.188896,"0","9","42"
"officecom",266,62.886384,"0","9","42"
"officecom",401,78.183072,"0","9","42"
"officecom",400,86.681232,"0","9","42"
"officecom",359,85.136112,"0","9","42"
"officecom",246,85.908672,"0","9","42"
"officecom",257,70.947864,"1","9","42"
"officecom",388,76.67946,"1","9","42"
"officecom",260,78.693264,"1","9","42"
"officecom",291,86.593572,"1","9","42"
"officecom",509,85.819032,"1","9","42"
"officecom",437,72.628992,"1","9","42"
"officecom",241,82.803312,"1","9","42"
"officecom",882,77.48136,"1","9","42"
"officecom",960,78.107472,"1","9","42"
"officecom",265,90.160128,"1","9","42"
"officecom",365,63.889128,"2","9","42"
"officecom",255,87.672672,"2","9","42"
"officecom",266,86.27364,"2","9","42"
"officecom",261,86.27364,"2","9","42"
"officecom",252,85.340952,"2","9","42"
"officecom",235,71.284536,"2","9","42"
"officecom",523,87.125544,"2","9","42"
"officecom",423,71.595144,"2","9","42"
"officecom",250,78.117912,"2","9","42"
"officecom",305,86.038416,"2","9","42"
"officecom",404,60.875388,"3","9","42"
"officecom",316,71.360352,"3","9","42"
"officecom",242,76.524588,"3","9","42"
"officecom",324,75.429144,"3","9","42"
"officecom",264,76.994064,"3","9","42"
"officecom",552,62.7471,"3","9","42"
"officecom",272,76.1373,"3","9","42"
"officecom",263,76.7601,"3","9","42"
"officecom",270,75.5145,"3","9","42"
"officecom",303,76.6044,"3","9","42"
"buzzfeedcom",458,61.68204,"0","10","43"
"buzzfeedcom",357,74.54538,"0","10","43"
"buzzfeedcom",410,77.02506,"0","10","43"
"buzzfeedcom",465,74.54538,"0","10","43"
"buzzfeedcom",498,76.56012,"0","10","43"
"buzzfeedcom",1155,64.489536,"0","10","43"
"buzzfeedcom",467,75.603024,"0","10","43"
"buzzfeedcom",349,71.376768,"0","10","43"
"buzzfeedcom",417,76.855248,"0","10","43"
"buzzfeedcom",360,77.637888,"0","10","43"
"buzzfeedcom",424,62.742816,"1","10","43"
"buzzfeedcom",382,75.943656,"1","10","43"
"buzzfeedcom",1012,76.564872,"1","10","43"
"buzzfeedcom",434,76.564872,"1","10","43"
"buzzfeedcom",460,77.807304,"1","10","43"
"buzzfeedcom",428,62.21916,"1","10","43"
"buzzfeedcom",464,75.40776,"1","10","43"
"buzzfeedcom",386,76.8042,"1","10","43"
"buzzfeedcom",427,75.71808,"1","10","43"
"buzzfeedcom",573,76.64904,"1","10","43"
"buzzfeedcom",466,62.454672,"2","10","43"
"buzzfeedcom",498,77.168304,"2","10","43"
"buzzfeedcom",505,79.359696,"2","10","43"
"buzzfeedcom",402,74.037744,"2","10","43"
"buzzfeedcom",466,74.976912,"2","10","43"
"buzzfeedcom",451,62.9028,"2","10","43"
"buzzfeedcom",575,79.7184,"2","10","43"
"buzzfeedcom",537,76.4487,"2","10","43"
